"station","POSIXtime","parsivelStatus","precipCode","parsivelR","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","class31","class32"
"Military Airport Payerne",2014-04-08 00:00:00,0,0,0.491,0,0,0,0,0,0,0,7.66763744534106,33.7973767448182,7.81255438089482,3.2064789997269,0,2.77458911371827,2.19510623484806,1.62484813987778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:00:30,0,0,1.73,0,0,0,0,9.3960440166311,38.0211903073023,0,60.1241990700171,10.6736984906622,0,4.34307702373031,7.15846543990018,5.785040264749,2.67277640335747,0,0.698151295059879,0,0,1.41967815896136,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:01:00,0,0,5.614,0,0,0,3.73692547359236,31.1618173781998,10.1512859093979,34.9614325801818,33.8644927077122,0,11.0293406601836,5.30785848155825,14.3024394242043,4.16321770644596,9.19195916934776,0,5.90222381707776,1.98182999429623,2.85981942750214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:01:30,0,0,3.318,0,0,2.54614010945343,10.0104306625929,25.3354882779456,8.76701964902543,11.6538108600605,45.1526569436163,13.0806348803678,22.0586813203672,10.6157169631165,12.8858168526641,6.79175908188831,6.25835517913037,2.72145517478626,4.35582911934493,0,1.37560934487445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:02:00,0,0,2.336,0,0,7.70831437058057,0,7.80045492779072,0,46.6152434402423,33.8644927077122,52.3225395214712,46.1226973062223,5.30785848155825,8.99010478092845,14.9875837432054,2.93360399021736,8.16436552435877,4.35582911934493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:02:30,0,0,0.438,0,0,1.83446743032776,0,12.6931619918327,0,29.8096641391189,38.4002733598659,23.6581637213728,34.0911463893592,10.7854293627177,3.23020684645787,2.77458911371827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:03:00,0,0,0.119,0,0,0.820758583427648,6.45069490966547,0,5.75058271221736,14.3388257884369,38.3381872267052,17.5746359073054,9.2330188137848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:03:30,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:04:00,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Military Airport Payerne",2014-04-08 00:04:30,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
